"","athlete_id","first_name","last_name","full_name","display_name","weight","height","position_abbreviation","experience_years","rushing_long_rushing","rushing_rushing_attempts","rushing_rushing_touchdowns","rushing_rushing_yards","receiving_receiving_touchdowns","receiving_receiving_yards","receiving_receptions"
"83","4382470","Elijah","Collins","Elijah Collins","Elijah Collins",220,72,"RB",4,26,30,2,142,0,19,2
"84","4383114","Michael","Chris-Ike","Michael Chris-Ike","Michael Chris-Ike",225,74,"RB",4,32,15,0,92,0,10,1
"85","4383437","D.J.","Twitty","D.J. Twitty","D.J. Twitty",221,72,"RB",4,2,3,0,0,0,0,0
"86","4383441","Jawan","Martin","Jawan Martin","Jawan Martin",229,69,"RB",4,1,3,0,-1,0,6,3
"87","4383834","Soujah","Gasu","Soujah Gasu","Soujah Gasu",206,69,"RB",4,38,49,2,231,0,151,13
"88","4384358","Caleb","Johnson","Caleb Johnson","Caleb Johnson",220,70,"RB",4,19,81,2,320,0,1,1
"89","4391845","Cody","Schrader","Cody Schrader","Cody Schrader",214,69,"RB",4,52,247,13,1489,0,191,22
"90","4391845","Cody","Schrader","Cody Schrader","Cody Schrader",214,69,"RB",4,52,247,13,1489,0,191,22
"91","4391845","Cody","Schrader","Cody Schrader","Cody Schrader",214,69,"RB",4,52,247,13,1489,0,191,22
"92","4426333","John","Emery Jr.","John Emery Jr.","John Emery Jr.",224,72,"RB",5,17,23,1,121,0,58,3
"93","4426409","Chez","Mellusi","Chez Mellusi","Chez Mellusi",212,71,"RB",4,89,51,4,307,0,12,3
"94","4426420","Devyn","Ford","Devyn Ford","Devyn Ford",200,71,"RB",4,5,4,0,14,1,34,4
"95","4426428","Sean","Dollars","Sean Dollars","Sean Dollars",195,70,"RB",3,33,151,6,527,0,77,18
"96","4426484","Marcus","Major","Marcus Major","Marcus Major",227,72,"RB",4,19,78,1,308,1,75,12
"97","4426530","Kay'Ron","Lynch-Adams","Kay'Ron Lynch-Adams","Kay'Ron Lynch-Adams",205,70,"RB",3,47,236,12,1157,0,118,20
"98","4426595","TD","Ayo-Durojaiye","TD Ayo-Durojaiye","TD Ayo-Durojaiye",210,71,"RB",4,63,89,8,444,1,169,16
"99","4426619","Joachim","Bangda","Joachim Bangda","Joachim Bangda",230,70,"RB",4,31,42,4,143,0,46,5
"100","4426635","Darwin","Barlow","Darwin Barlow","Darwin Barlow",220,72,"RB",4,43,8,1,81,0,10,1
"101","4426645","Jouvensly","Bazil","Jouvensly Bazil","Jouvensly Bazil",190,70,"RB",4,22,26,3,108,0,37,4
"102","4426658","Noah","Cain","Noah Cain","Noah Cain",220,71,"RB",4,20,31,3,150,1,6,1
"103","4426689","Ulysses","Bentley IV","Ulysses Bentley IV","Ulysses Bentley IV",200,71,"RB",4,43,92,4,521,1,87,11
"104","4426696","Micah","Bernard","Micah Bernard","Micah Bernard",201,72,"RB",3,13,7,0,45,0,6,2
"105","4426703","Mark","Biggins","Mark Biggins","Mark Biggins",205,70,"RB",4,21,57,2,261,0,26,7
"106","4426767","JJ","Branham","JJ Branham","JJ Branham",205,70,"RB",3,3,3,0,5,0,0,0
"107","4426840","Shadrick","Byrd","Shadrick Byrd","Shadrick Byrd",210,70,"RB",3,18,60,0,211,0,28,7
"108","4426856","Malik","Caper","Malik Caper","Malik Caper",235,72,"RB",4,11,13,0,57,0,0,0
"109","4426910","Kenan","Christon","Kenan Christon","Kenan Christon",190,70,"RB",4,39,96,0,378,1,201,29
"110","4427110","Niko","Duffey","Niko Duffey","Niko Duffey",175,71,"RB",3,15,43,1,174,0,82,14
"111","4427111","Michel","Dukes","Michel Dukes","Michel Dukes",194,70,"RB",4,30,63,2,350,0,77,8
"112","4427138","Ro","Elliott","Ro Elliott","Ro Elliott",175,66,"RB",4,64,96,11,566,0,115,16
"113","4427213","Jordan","Forrest","Jordan Forrest","Jordan Forrest",233,73,"RB",4,31,21,0,115,0,17,1
"114","4427251","Velton","Gardner","Velton Gardner","Velton Gardner",189,69,"RB",4,23,32,1,137,0,7,1
"115","4427254","Tahj","Gary","Tahj Gary","Tahj Gary",220,68,"RB",3,40,33,2,187,0,4,1
"116","4427299","Damarius","Good","Damarius Good","Damarius Good",195,71,"RB",3,24,11,0,105,0,0,0
"117","4427332","Gerald","Green","Gerald Green","Gerald Green",192,69,"RB",4,46,25,2,101,0,38,8
"118","4427501","Jeremy","Hollingsworth","Jeremy Hollingsworth","Jeremy Hollingsworth",205,69,"RB",3,10,6,0,31,0,0,0
"119","4427503","Mike","Hollins","Mike Hollins","Mike Hollins",204,69,"RB",4,22,80,7,274,1,34,10
"120","4427600","Terrell","Jennings","Terrell Jennings","Terrell Jennings",225,73,"RB",4,73,101,8,606,0,40,5
"121","4427609","Rahmir","Johnson","Rahmir Johnson","Rahmir Johnson",185,70,"RB",3,44,12,0,65,0,9,3
"122","4427630","Oscar","Adaway III","Oscar Adaway III","Oscar Adaway III",219,70,"RB",3,77,123,6,738,0,89,14
"123","4427649","Kelley","Joiner","Kelley Joiner","Kelley Joiner",184,69,"RB",4,18,39,1,156,2,156,12
"124","4427658","Anthony","Adkins","Anthony Adkins","Anthony Adkins",245,74,"RB",3,38,26,1,164,0,0,0
"125","4427709","Keshawn","King","Keshawn King","Keshawn King",185,71,"RB",4,17,14,1,62,0,27,2
"126","4427821","Torry","Locklin","Torry Locklin","Torry Locklin",205,74,"RB",3,19,9,0,40,1,40,4
"127","4427841","Billy","Lucas","Billy Lucas","Billy Lucas",205,71,"RB",2,43,109,6,578,0,39,3
"128","4427916","Tony","Mathis Jr.","Tony Mathis Jr.","Tony Mathis Jr.",208,71,"RB",3,23,41,0,170,1,79,11
"129","4427971","Dontae","McMillan","Dontae McMillan","Dontae McMillan",195,70,"RB",4,18,6,1,24,0,12,1
