athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4362307,Jeremiah,Wood,Jeremiah Wood,Jeremiah Wood,210,73,S,3,0,7,21,0
4362311,Justin,Birchette,Justin Birchette,Justin Birchette,184,69,CB,8,0,15,27,0
4362344,Capone,Blue,Capone Blue,Capone Blue,177,75,CB,10,0,30,35,0
4362353,Montre,Miller,Montre Miller,Montre Miller,188,71,CB,0,0,3,3,0
4362498,Gilbert,Frierson,Gilbert Frierson,Gilbert Frierson,220,73,DB,0,0,5,6,1
4362500,Al,Blades Jr.,Al Blades Jr.,Al Blades Jr.,195,73,CB,9,0,25,42,0
4362566,Randall,Harris,Randall Harris,Randall Harris,194,72,CB,6,0,19,25,1
4362607,Stanley,Garner,Stanley Garner,Stanley Garner,185,74,DB,3,0,14,16,2
4362672,Jarron,Morris,Jarron Morris,Jarron Morris,170,69,DB,6,0,46,84,3
4362719,O'shai,Fletcher,O'shai Fletcher,O'shai Fletcher,172,71,CB,4,1,38,48,1
4362719,O'shai,Fletcher,O'shai Fletcher,O'shai Fletcher,172,71,CB,4,1,38,48,1
4362756,Chris,Mills,Chris Mills,Chris Mills,175,71,CB,4,0,16,25,0
4362786,BJ,Anderson,BJ Anderson,BJ Anderson,195,73,CB,3,0,5,8,0
4362793,Dashaun,Jerkins,Dashaun Jerkins,Dashaun Jerkins,200,71,S,4,0,15,31,1
4362893,Shawn,Preston Jr.,Shawn Preston Jr.,Shawn Preston Jr.,205,72,S,3,0,23,59,3
4362900,Esaias,Furdge,Esaias Furdge,Esaias Furdge,185,72,CB,2,0,4,7,0
4362928,Wayne,Jones,Wayne Jones,Wayne Jones,205,72,DB,0,0.5,13,36,0
4363006,Kelechi,Nwachuku,Kelechi Nwachuku,Kelechi Nwachuku,205,72,S,0,0,22,32,0
4363052,Beanie,Bishop Jr.,Beanie Bishop Jr.,Beanie Bishop Jr.,184,70,CB,20,0,48,59,4
4363128,Patrick,Mensah,Patrick Mensah,Patrick Mensah,174,69,S,3,0,11,16,1
4363134,Kam,Pedescleaux,Kam Pedescleaux,Kam Pedescleaux,185,69,S,12,0,31,52,2
