athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,kicking_extra_point_attempts,kicking_extra_points_made,kicking_field_goal_attempts,kicking_field_goals_made,kicking_long_field_goal_made,kicking_field_goal_attempts40_49,kicking_field_goal_attempts50_59,kicking_field_goal_attempts60_99,kicking_field_goals_made40_49,kicking_field_goals_made50_59,kicking_field_goals_made60_99
4570688,Caden,Davis,Caden Davis,Caden Davis,200,75,PK,42,42,20,15,56,6,3,0,4,1,0
4570688,Caden,Davis,Caden Davis,Caden Davis,200,75,PK,42,42,20,15,56,6,3,0,4,1,0
4570688,Caden,Davis,Caden Davis,Caden Davis,200,75,PK,42,42,20,15,56,6,3,0,4,1,0
4570859,Stone,Galloway,Stone Galloway,Stone Galloway,210,71,PK,14,12,14,4,0,0,0,0,0,0,0
4570859,Stone,Galloway,Stone Galloway,Stone Galloway,210,71,PK,14,12,14,4,0,0,0,0,0,0,0
4571557,Spencer,Shrader,Spencer Shrader,Spencer Shrader,190,74,PK,57,56,20,14,54,5,6,0,2,4,0
4571557,Spencer,Shrader,Spencer Shrader,Spencer Shrader,190,74,PK,57,56,20,14,54,5,6,0,2,4,0
4571557,Spencer,Shrader,Spencer Shrader,Spencer Shrader,190,74,PK,57,56,20,14,54,5,6,0,2,4,0
4571557,Spencer,Shrader,Spencer Shrader,Spencer Shrader,190,74,PK,57,56,20,14,54,5,6,0,2,4,0
4572467,Ethan,Albertson,Ethan Albertson,Ethan Albertson,225,74,PK,49,48,23,18,52,6,1,0,4,1,0
4572531,Griffin,Crosa,Griffin Crosa,Griffin Crosa,177,73,PK,69,68,19,16,0,0,0,0,0,0,0
4572567,Matthew,Cook,Matthew Cook,Matthew Cook,199,71,PK,31,31,21,19,0,0,0,0,0,0,0
4572567,Matthew,Cook,Matthew Cook,Matthew Cook,199,71,PK,31,31,21,19,0,0,0,0,0,0,0
4573284,Cameron,Carson,Cameron Carson,Cameron Carson,190,72,PK,28,27,20,11,49,5,4,0,2,0,0
4573284,Cameron,Carson,Cameron Carson,Cameron Carson,190,72,PK,28,27,20,11,49,5,4,0,2,0,0
4573434,Gino,Garcia,Gino Garcia,Gino Garcia,215,74,PK,36,36,19,14,55,5,5,0,2,3,0
4573469,Jake,Larson,Jake Larson,Jake Larson,174,71,PK,5,5,4,2,35,2,0,0,0,0,0
4573570,Gavin,Lasseigne,Gavin Lasseigne,Gavin Lasseigne,190,71,PK,35,33,11,8,0,0,0,0,0,0,0
4574170,Caden,Bonoffski,Caden Bonoffski,Caden Bonoffski,180,68,PK,25,25,18,16,0,0,0,0,0,0,0
4574288,Sam,Contorno,Sam Contorno,Sam Contorno,177,69,PK,28,24,9,4,0,0,0,0,0,0,0
4574288,Sam,Contorno,Sam Contorno,Sam Contorno,177,69,PK,28,24,9,4,0,0,0,0,0,0,0
4574450,Sam,Webster,Sam Webster,Sam Webster,270,72,PK,21,21,10,6,0,0,0,0,0,0,0
4574450,Sam,Webster,Sam Webster,Sam Webster,270,72,PK,21,21,10,6,0,0,0,0,0,0,0
4574533,Nathan,Hazlett,Nathan Hazlett,Nathan Hazlett,220,74,PK,23,21,8,6,0,0,0,0,0,0,0
4574573,Griffin,Kell,Griffin Kell,Griffin Kell,190,72,PK,46,44,21,14,57,8,7,0,5,3,0
4574626,Cameron,Gillis,Cameron Gillis,Cameron Gillis,155,68,PK,44,43,12,9,0,0,0,0,0,0,0
4574631,Patrick,Oliva,Patrick Oliva,Patrick Oliva,170,72,PK,11,11,7,4,0,0,0,0,0,0,0
4574631,Patrick,Oliva,Patrick Oliva,Patrick Oliva,170,72,PK,11,11,7,4,0,0,0,0,0,0,0
4574716,Harrison,Mevis,Harrison Mevis,Harrison Mevis,243,71,PK,44,43,30,24,61,5,5,0,2,3,0
4574762,Ben,Freehill,Ben Freehill,Ben Freehill,200,73,PK,22,21,11,6,44,4,1,0,2,0,0
4574762,Ben,Freehill,Ben Freehill,Ben Freehill,200,73,PK,22,21,11,6,44,4,1,0,2,0,0
4575529,James,Turner,James Turner,James Turner,196,72,PK,59,58,18,16,50,4,4,0,3,3,0
4575529,James,Turner,James Turner,James Turner,196,72,PK,59,58,18,16,50,4,4,0,3,3,0
4575529,James,Turner,James Turner,James Turner,196,72,PK,59,58,18,16,50,4,4,0,3,3,0
4576252,Alex,Schmoke,Alex Schmoke,Alex Schmoke,160,69,PK,31,30,4,1,0,0,0,0,0,0,0
4576777,Seth,Keller,Seth Keller,Seth Keller,165,68,PK,42,40,14,11,44,4,0,0,2,0,0
4577769,Tristan,Mattson,Tristan Mattson,Tristan Mattson,180,74,PK,33,31,14,7,58,4,4,0,2,1,0
4577793,Chris,Freeman,Chris Freeman,Chris Freeman,205,74,PK,30,29,14,10,50,4,2,0,2,1,0
4577796,Dragan,Kesich,Dragan Kesich,Dragan Kesich,230,76,PK,24,24,26,22,54,6,4,0,5,3,0
4578233,Ryan,Coe,Ryan Coe,Ryan Coe,225,75,PK,8,8,4,3,47,1,0,0,1,0,0
4578458,Adrian,Olivo,Adrian Olivo,Adrian Olivo,195,70,PK,56,51,12,10,0,0,0,0,0,0,0
4578458,Adrian,Olivo,Adrian Olivo,Adrian Olivo,195,70,PK,56,51,12,10,0,0,0,0,0,0,0
4578848,Chris,Campos,Chris Campos,Chris Campos,255,71,PK,36,36,24,17,0,0,0,0,0,0,0
4587284,Sam,Babbush,Sam Babbush,Sam Babbush,175,71,PK,19,19,14,10,0,0,0,0,0,0,0
4588485,Derek,McCormick,Derek McCormick,Derek McCormick,215,75,PK,17,16,12,10,50,1,2,0,1,2,0
4607894,Mitch,Jeter,Mitch Jeter,Mitch Jeter,194,70,PK,34,33,14,12,51,3,3,0,3,1,0
4607894,Mitch,Jeter,Mitch Jeter,Mitch Jeter,194,70,PK,34,33,14,12,51,3,3,0,3,1,0
4608896,Chase,Gabriel,Chase Gabriel,Chase Gabriel,180,71,PK,23,21,12,9,50,4,1,0,3,1,0
4608896,Chase,Gabriel,Chase Gabriel,Chase Gabriel,180,71,PK,23,21,12,9,50,4,1,0,3,1,0
4643646,Matthew,Dennis,Matthew Dennis,Matthew Dennis,193,71,PK,21,20,20,14,44,2,0,0,1,0,0
4643646,Matthew,Dennis,Matthew Dennis,Matthew Dennis,193,71,PK,21,20,20,14,44,2,0,0,1,0,0
4683167,Sander,Sahaydak,Sander Sahaydak,Sander Sahaydak,181,72,PK,7,7,2,0,0,0,0,0,0,0,0
4683167,Sander,Sahaydak,Sander Sahaydak,Sander Sahaydak,181,72,PK,7,7,2,0,0,0,0,0,0,0,0
4684912,Jordan,Noyes,Jordan Noyes,Jordan Noyes,195,71,PK,29,29,19,15,55,6,3,0,4,1,0
4685066,Noe,Ruelas,Noe Ruelas,Noe Ruelas,196,73,PK,3,3,4,3,41,1,1,0,1,0,0
4685066,Noe,Ruelas,Noe Ruelas,Noe Ruelas,196,73,PK,3,3,4,3,41,1,1,0,1,0,0
4686182,Evan,Warren,Evan Warren,Evan Warren,178,70,PK,6,6,5,2,31,1,0,0,0,0,0
4686245,Chase,Contreraz,Chase Contreraz,Chase Contreraz,195,73,PK,35,34,24,19,56,9,3,0,7,2,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4686361,Cam,Little,Cam Little,Cam Little,179,74,PK,33,33,24,20,56,7,5,0,5,4,0
4687040,Brendan,Hall,Brendan Hall,Brendan Hall,231,81,PK,41,38,12,6,0,0,0,0,0,0,0
4687040,Brendan,Hall,Brendan Hall,Brendan Hall,231,81,PK,41,38,12,6,0,0,0,0,0,0,0
4688828,Noah,Burnette,Noah Burnette,Noah Burnette,175,70,PK,42,42,19,18,48,6,0,0,6,0,0
4688828,Noah,Burnette,Noah Burnette,Noah Burnette,175,70,PK,42,42,19,18,48,6,0,0,6,0,0
4689366,John,Cannon,John Cannon,John Cannon,176,69,PK,46,46,15,10,45,8,0,0,5,0,0
4689366,John,Cannon,John Cannon,John Cannon,176,69,PK,46,46,15,10,45,8,0,0,5,0,0
4689818,Quinn,Maretzki,Quinn Maretzki,Quinn Maretzki,177,70,PK,25,25,14,12,47,5,0,0,4,0,0
4689818,Quinn,Maretzki,Quinn Maretzki,Quinn Maretzki,177,70,PK,25,25,14,12,47,5,0,0,4,0,0
4689969,Zeke,Rankin,Zeke Rankin,Zeke Rankin,200,68,PK,37,35,14,10,38,2,0,0,0,0,0
4689969,Zeke,Rankin,Zeke Rankin,Zeke Rankin,200,68,PK,37,35,14,10,38,2,0,0,0,0,0
4689969,Zeke,Rankin,Zeke Rankin,Zeke Rankin,200,68,PK,37,35,14,10,38,2,0,0,0,0,0
4690345,Owen,Daffer,Owen Daffer,Owen Daffer,170,72,PK,19,18,16,11,0,0,0,0,0,0,0
4690467,Joe,McFadden,Joe McFadden,Joe McFadden,188,69,PK,23,20,13,7,50,7,1,0,1,1,0
4690467,Joe,McFadden,Joe McFadden,Joe McFadden,188,69,PK,23,20,13,7,50,7,1,0,1,1,0
4690467,Joe,McFadden,Joe McFadden,Joe McFadden,188,69,PK,23,20,13,7,50,7,1,0,1,1,0
4690967,Brandon,Peskin,Brandon Peskin,Brandon Peskin,197,74,PK,40,33,17,14,0,0,0,0,0,0,0
4691055,Elliott,Nimrod,Elliott Nimrod,Elliott Nimrod,180,72,PK,41,39,13,11,45,3,0,0,2,0,0
4691736,Gavin,Stewart,Gavin Stewart,Gavin Stewart,178,71,PK,8,8,3,0,0,1,1,0,0,0,0
4691742,Jude,Kelley,Jude Kelley,Jude Kelley,183,73,PK,18,17,10,8,0,0,0,0,0,0,0
4691762,Colby,Kintner,Colby Kintner,Colby Kintner,210,74,PK,11,9,11,9,0,0,0,0,0,0,0
4691762,Colby,Kintner,Colby Kintner,Colby Kintner,210,74,PK,11,9,11,9,0,0,0,0,0,0,0
4692042,Chase,Allen,Chase Allen,Chase Allen,195,74,PK,44,44,15,13,53,6,2,0,6,1,0
4692042,Chase,Allen,Chase Allen,Chase Allen,195,74,PK,44,44,15,13,53,6,2,0,6,1,0
4692167,Will,Leyland,Will Leyland,Will Leyland,205,71,PK,37,37,13,13,0,0,0,0,0,0,0
4692532,Zach,Schmit,Zach Schmit,Zach Schmit,194,70,PK,64,64,20,14,46,4,1,0,2,0,0
4692532,Zach,Schmit,Zach Schmit,Zach Schmit,194,70,PK,64,64,20,14,46,4,1,0,2,0,0
4692644,Jose,Pizano,Jose Pizano,Jose Pizano,220,69,PK,52,52,27,25,52,9,2,0,7,2,0
4692644,Jose,Pizano,Jose Pizano,Jose Pizano,220,69,PK,52,52,27,25,52,9,2,0,7,2,0
4692644,Jose,Pizano,Jose Pizano,Jose Pizano,220,69,PK,52,52,27,25,52,9,2,0,7,2,0
4692893,Michael,Hughes,Michael Hughes,Michael Hughes,190,75,PK,53,53,20,17,54,6,2,0,3,2,0
4692893,Michael,Hughes,Michael Hughes,Michael Hughes,190,75,PK,53,53,20,17,54,6,2,0,3,2,0
4693226,Alen,Karajic,Alen Karajic,Alen Karajic,220,77,PK,43,42,20,14,43,7,1,0,4,0,0
4693226,Alen,Karajic,Alen Karajic,Alen Karajic,220,77,PK,43,42,20,14,43,7,1,0,4,0,0
