athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_passes_defended
4371960,Aaron,Casey,Aaron Casey,Aaron Casey,235,74,LB,3,6.5,78,109,3
4371978,Richard,Jibunor,Richard Jibunor,Richard Jibunor,229,75,LB,3,9,29,53,0
4371980,Harold,Joiner III,Harold Joiner III,Harold Joiner III,215,76,LB,0,0,2,2,0
4372006,Andrew,Parker Jr.,Andrew Parker Jr.,Andrew Parker Jr.,235,74,LB,0,2,49,103,2
4372043,Ahmad,McCullough,Ahmad McCullough,Ahmad McCullough,223,74,LB,0,0,2,3,0
4372046,Fa'Najae,Gotay,Fa'Najae Gotay,Fa'Najae Gotay,230,72,LB,0,2.5,22,38,1
4372062,Michael,Barrett,Michael Barrett,Michael Barrett,239,72,LB,3,2,29,52,2
4372371,Justin,Wright,Justin Wright,Justin Wright,244,74,LB,0,0,1,2,0
4372458,Chike,Nwankwo,Chike Nwankwo,Chike Nwankwo,235,72,LB,0,0,4,7,0
4372461,Deion,Jennings,Deion Jennings,Deion Jennings,235,73,LB,0,0,42,85,4
4372461,Deion,Jennings,Deion Jennings,Deion Jennings,235,73,LB,0,0,42,85,4
4372571,C.J.,Goetz,C.J. Goetz,C.J. Goetz,240,75,LB,1,4,23,54,2
4372732,Evan,Tattersall,Evan Tattersall,Evan Tattersall,240,74,LB,0,3,41,70,5
4372773,Paul,Moala,Paul Moala,Paul Moala,229,72,LB,3,2,31,58,2
4372778,Shayne,Simon,Shayne Simon,Shayne Simon,235,75,LB,0,5,24,48,2
4373288,Alex,Nobles,Alex Nobles,Alex Nobles,245,74,LB,1,4.5,29,41,0
4373563,Jordan,Mitchell,Jordan Mitchell,Jordan Mitchell,220,72,DE,0,5,44,79,2
4373583,Ryan,Ragone,Ryan Ragone,Ryan Ragone,220,71,LB,0,0.5,0,3,0
4373648,Max,Tooley,Max Tooley,Max Tooley,225,74,LB,1,1,53,92,2
4373709,BJ,Turner,BJ Turner,BJ Turner,225,72,LB,1,1,45,63,2
4373765,Luke,Cameron,Luke Cameron,Luke Cameron,226,72,LB,0,0,7,16,1
4374029,Matthew,Tago,Matthew Tago,Matthew Tago,222,74,LB,0,0,8,26,3
4374031,John,McCartan,John McCartan,John McCartan,258,77,LB,1,4.5,25,44,2
4374039,Isaiah,Tufaga,Isaiah Tufaga,Isaiah Tufaga,220,73,LB,2,2.5,44,79,0
4374192,Elijah,Shelton,Elijah Shelton,Elijah Shelton,235,74,LB,2,1,18,28,0
