Week,DATE,Home,Away,spread_line
13,12/3/23 16:25,Eagles,49ers,2.5
13,12/3/23 20:20,Packers,Chiefs,5
13,12/4/23 20:15,Jaguars,Bengals,1
14,12/7/23 20:15,Steelers,Patriots,2.5
14,12/10/23 13:00,Falcons,Buccaneers,3.5
14,12/10/23 13:00,Saints,Panthers,3.5
14,12/10/23 13:00,Bears,Lions,1
14,12/10/23 13:00,Jets,Texans,8.5
14,12/10/23 13:00,Bengals,Colts,9
14,12/10/23 13:00,Browns,Jaguars,1
14,12/10/23 13:00,Ravens,Rams,6.5
14,12/10/23 16:05,Raiders,Vikings,1.5
14,12/10/23 16:05,49ers,Seahawks,4
14,12/10/23 16:25,Chiefs,Bills,4
14,12/10/23 16:25,Chargers,Broncos,3.5
14,12/10/23 20:20,Cowboys,Eagles,1
14,12/11/23 20:15,Dolphins,Titans,7.5
14,12/11/23 20:15,Giants,Packers,3
15,12/14/23 20:15,Raiders,Chargers,1
15,12/17/23 13:00,Bengals,Vikings,6
15,12/17/23 13:00,Saints,Giants,2.5
15,12/17/23 13:00,Dolphins,Jets,1.5
15,12/17/23 13:00,Panthers,Falcons,1.5
15,12/17/23 13:00,Browns,Bears,3.5
15,12/17/23 13:00,Lions,Broncos,3
15,12/17/23 13:00,Titans,Texans,3
15,12/17/23 13:00,Colts,Steelers,2.5
15,12/17/23 13:00,Packers,Buccaneers,4
15,12/17/23 16:05,Rams,Commanders,1
15,12/17/23 16:05,Cardinals,49ers,6
15,12/17/23 16:25,Bills,Cowboys,4
15,12/17/23 16:25,Seahawks,Eagles,2
15,12/17/23 20:20,Jaguars,Ravens,1
15,12/18/23 20:15,Patriots,Chiefs,4
16,12/21/23 20:15,Rams,Saints,1
16,12/23/23 16:30,Steelers,Bengals,2.5
16,12/23/23 20:00,Chargers,Bills,1
16,12/24/23 13:00,Titans,Seahawks,2
16,12/24/23 13:00,Jets,Commanders,6
16,12/24/23 13:00,Texans,Browns,3.5
16,12/24/23 13:00,Vikings,Lions,1
16,12/24/23 13:00,Panthers,Packers,1
16,12/24/23 13:00,Falcons,Colts,3.5
16,12/24/23 16:05,Buccaneers,Jaguars,3.5
16,12/24/23 16:25,Dolphins,Cowboys,1.5
16,12/24/23 16:25,Bears,Cardinals,5
16,12/24/23 20:15,Broncos,Patriots,3
16,12/25/23 13:00,Chiefs,Raiders,9.5
16,12/25/23 16:30,Eagles,Giants,7.5
16,12/25/23 20:15,49ers,Ravens,3
17,12/28/23 20:15,Browns,Jets,0
17,12/30/23 20:15,Cowboys,Lions,3
17,12/31/23 13:00,Commanders,49ers,3.5
17,12/31/23 13:00,Texans,Titans,1
17,12/31/23 13:00,Eagles,Cardinals,11
17,12/31/23 13:00,Bears,Falcons,2.5
17,12/31/23 13:00,Jaguars,Panthers,5
17,12/31/23 13:00,Giants,Rams,4
17,12/31/23 13:00,Colts,Raiders,1.5
17,12/31/23 13:00,Ravens,Dolphins,2
17,12/31/23 13:00,Bills,Patriots,6
17,12/31/23 13:00,Buccaneers,Saints,1.5
17,12/31/23 16:05,Seahawks,Steelers,2.5
17,12/31/23 16:25,Broncos,Chargers,1
17,12/31/23 16:25,Chiefs,Bengals,3.5
17,12/31/23 20:20,Vikings,Packers,3
18,1/7/24 13:00,Saints,Falcons,2.5
18,1/7/24 13:00,Dolphins,Bills,1.5
18,1/7/24 13:00,Packers,Bears,2
18,1/7/24 13:00,Bengals,Browns,3.5
18,1/7/24 13:00,Commanders,Cowboys,3
18,1/7/24 13:00,Raiders,Broncos,1
18,1/7/24 13:00,Colts,Texans,1.5
18,1/7/24 13:00,Titans,Jaguars,2.5
18,1/7/24 13:00,Chargers,Chiefs,2
18,1/7/24 13:00,49ers,Rams,6
18,1/7/24 13:00,Lions,Vikings,2.5
18,1/7/24 13:00,Patriots,Jets,1
18,1/7/24 13:00,Giants,Eagles,2.5
18,1/7/24 13:00,Ravens,Steelers,3.5
18,1/7/24 13:00,Cardinals,Seahawks,4.5
18,1/7/24 13:00,Panthers,Buccaneers,2.5
