athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
5085160,James,Tomasi,James Tomasi,James Tomasi,310,72,DL,0,1,7,13,7
5085164,Payton,Zdroik,Payton Zdroik,Payton Zdroik,275,72,DL,0,3.5,14,30,26
5085244,Gavin,Nelson,Gavin Nelson,Gavin Nelson,275,77,DL,0,0,0,3,0
5085355,David,Walker,David Walker,David Walker,260,74,DE,1,7.5,30,54,55
5085368,Javeon,Jones,Javeon Jones,Javeon Jones,280,75,DL,0,1,6,12,11
5085371,Jace,McCoy,Jace McCoy,Jace McCoy,270,75,DL,0,1,7,20,2
5085384,Stephon,McGlaun,Stephon McGlaun,Stephon McGlaun,295,76,DL,0,0.5,5,13,4
5085385,Samuel,Horton,Samuel Horton,Samuel Horton,240,75,DE,0,1,4,7,5
5085436,Hosea,Wheeler,Hosea Wheeler,Hosea Wheeler,298,75,DT,1,2,21,40,11
5085513,Joe,Onuwabhagbe,Joe Onuwabhagbe,Joe Onuwabhagbe,230,74,DL,1,2,5,6,18
5085550,Tuaoa,Tauili'ili,Tuaoa Tauili'ili,Tuaoa Tauili'ili,324,76,DL,0,0.5,4,15,1
5085554,Curtis,Hill,Curtis Hill,Curtis Hill,282,75,DL,0,0,2,6,0
5085600,Michael,MacNeill,Michael MacNeill,Michael MacNeill,280,73,DL,0,0,4,10,0
5085602,Dino,Kahaulelio,Dino Kahaulelio,Dino Kahaulelio,285,72,DT,0,0,11,24,0
5085619,Cameren,Cope,Cameren Cope,Cameren Cope,240,77,DE,0,1,5,17,10
5085620,Steven,Bryant,Steven Bryant,Steven Bryant,275,75,DT,0,2.5,5,15,17
5085656,Mikah,Kent,Mikah Kent,Mikah Kent,225,74,DL,0,1.5,6,18,12
5085697,Trystan,Anderson,Trystan Anderson,Trystan Anderson,220,76,DL,0,0.5,10,13,1
5085699,Nolan,Korzeniowski,Nolan Korzeniowski,Nolan Korzeniowski,NA,76,DL,0,0.5,5,17,0
5085709,Collin,Schremp,Collin Schremp,Collin Schremp,205,76,DL,2,4,11,24,28
5085710,Jacob,Auen,Jacob Auen,Jacob Auen,230,77,DL,0,4,12,22,29
5085738,Sterling,Smithson,Sterling Smithson,Sterling Smithson,315,75,DL,0,0.5,4,16,4
5085798,Bryce,Rooks,Bryce Rooks,Bryce Rooks,300,73,DL,0,0.5,2,8,8
5085833,Byron,Evans,Byron Evans,Byron Evans,260,74,OL,0,0,2,5,0
5085869,Malakai,Dudek,Malakai Dudek,Malakai Dudek,274,75,DT,0,0,2,4,0
5085951,Zaven,Koltookian,Zaven Koltookian,Zaven Koltookian,220,77,DL,0,0,1,4,0
5085953,Danny,Norocea,Danny Norocea,Danny Norocea,290,75,DL,0,0.5,3,7,2
5086044,Timothy,Passmore Jr.,Timothy Passmore Jr.,Timothy Passmore Jr.,301,72,DL,0,0,2,3,0
5086070,Paul,Hutson III,Paul Hutson III,Paul Hutson III,269,72,DL,0,0,1,4,0
5086109,Jeremiah,Bailey,Jeremiah Bailey,Jeremiah Bailey,240,75,DL,1,1,4,12,22
5086180,Mateen,Ibirogba,Mateen Ibirogba,Mateen Ibirogba,250,76,DL,0,0,14,22,0
5086202,Chris,Tuck,Chris Tuck,Chris Tuck,275,75,DL,0,0,1,3,0
5086206,Claudy,Robinson,Claudy Robinson,Claudy Robinson,320,74,DL,0,0.5,8,24,4
5086208,Colby,Spencer,Colby Spencer,Colby Spencer,265,76,DL,0,1,9,15,2
5086209,Sam,Buerkle,Sam Buerkle,Sam Buerkle,255,76,DL,1,1,16,33,9
5086542,Cazeem,Moore,Cazeem Moore,Cazeem Moore,252,75,DE,1,3,12,28,14
5086613,Keion,Mitchell,Keion Mitchell,Keion Mitchell,260,76,DL,0,1,5,8,9
5086635,Ta'ita'i,Uiagalelei,Ta'ita'i Uiagalelei,Ta'ita'i Uiagalelei,285,76,DL,0,1,7,18,9
5086647,Jacob,Kongaika,Jacob Kongaika,Jacob Kongaika,300,74,DL,0,2,9,14,18
5086808,Brendan,Bett,Brendan Bett,Brendan Bett,298,77,DL,0,1,3,8,11
5086930,Christopher,Allen Jr.,Christopher Allen Jr.,Christopher Allen Jr.,285,76,DL,0,0,3,14,0
5086937,Christopher,Abraham,Christopher Abraham,Christopher Abraham,255,73,DL,1,0,2,5,0
5086960,Dominick,Brogna,Dominick Brogna,Dominick Brogna,290,74,DL,0,0,7,19,0
