Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Lucas Patrick,C,Bears,,UFA,84.20%,31,"$4,000,000 ","$4,000,000 "
Mecole Hardman,WR,Chiefs,,UFA,13.60%,26,"$4,000,000 ","$3,580,000 "
Derek Barnett,EDGE,Texans,,UFA,27.90%,28,"$3,750,000 ","$3,500,000 "
Quinton Jefferson,IDL,Jets,,UFA,41.20%,31,"$3,600,000 ","$2,750,000 "
Taven Bryan,IDL,Colts,,UFA,29.30%,28,"$3,510,000 ","$3,000,000 "
Halapoulivaati Vaitai,RG,Lions,,UFA,16.30%,31,"$3,500,000 ","$3,000,000 "
Shelby Harris,IDL,Browns,,UFA,41.60%,33,"$3,500,000 ","$2,000,000 "
Shaquill Griffin,CB,Panthers,,UFA,40.80%,29,"$3,500,000 ","$3,000,000 "
Devin Bush,LB,Seahawks,,UFA,21.00%,26,"$3,500,000 ","$2,990,000 "
Braxton Berrios,WR,Dolphins,,UFA,41.50%,29,"$3,500,000 ","$3,000,000 "
Dawuane Smoot,EDGE,Jaguars,,UFA,30.60%,29,"$3,500,000 ","$2,250,000 "
Jordan Hicks,LB,Vikings,,UFA,71.90%,32,"$3,500,000 ","$3,250,000 "
Charles Harris,EDGE,Lions,,UFA,26.60%,29,"$3,500,000 ","$3,000,000 "
Alexander Mattison,RB,Vikings,,SFA,51.70%,26,"$3,500,000 ","$3,600,000 "
Cody Barton,LB,Commanders,,UFA,72.30%,28,"$3,500,000 ","$3,500,000 "
Jerry Tillery,IDL,Raiders,,SFA,43.80%,28,"$3,400,000 ","$3,850,000 "
Isaiah Oliver,CB,49ers,,SFA,46.00%,28,"$3,375,000 ","$2,910,000 "
K'Lavon Chaisson,EDGE,Jaguars,,UFA,25.40%,25,"$3,336,153 ","$13,344,610 "
Nick Bellore,LB,Seahawks,,SFA,1.20%,35,"$3,300,000 ","$2,300,000 "
Cornelius Lucas,LT,Commanders,,UFA,20.60%,33,"$3,250,000 ","$2,920,000 "
Dan Feeney,LG,Bears,,UFA,8.00%,30,"$3,250,000 ","$3,125,000 "
Hassan Ridgeway,IDL,Texans,,UFA,5.40%,30,"$3,250,000 ","$3,000,000 "
Kenneth Murray,LB,Chargers,,UFA,84.00%,26,"$3,243,736 ","$12,974,944 "
Keion Crossen,CB,Dolphins,,SFA,0.00%,28,"$3,150,000 ","$3,035,000 "
Noah Fant,TE,Seahawks,,UFA,54.60%,27,"$3,147,681 ","$12,590,724 "
Jordyn Brooks,LB,Seahawks,,UFA,67.50%,27,"$3,058,901 ","$12,121,679 "
Randall Cobb,WR,Jets,,UFA,19.10%,34,"$3,000,000 ","$250,000 "
Chris Manhertz,TE,Broncos,,SFA,34.20%,32,"$3,000,000 ","$3,340,000 "
Teddy Bridgewater,QB,Lions,,UFA,0.30%,32,"$3,000,000 ","$2,550,000 "
Ezekiel Elliott,RB,Patriots,,UFA,51.30%,29,"$3,000,000 ","$1,100,000 "
Jordan Phillips,IDL,Bills,,UFA,36.60%,32,"$3,000,000 ","$1,220,000 "
Mike Edwards,S,Chiefs,,UFA,57.10%,28,"$3,000,000 ","$2,480,000 "
Jermaine Eluemunor,RT,Raiders,,UFA,86.50%,30,"$3,000,000 ","$2,438,000 "
Donovan Smith,LT,Chiefs,,UFA,66.30%,31,"$3,000,000 ","$1,980,000 "
Siran Neal,CB,Bills,,SFA,4.20%,30,"$3,000,000 ","$2,900,000 "
Tim Settle,IDL,Bills,,UFA,35.40%,27,"$3,000,000 ","$2,458,000 "
Bud Dupree,EDGE,Falcons,,UFA,63.60%,31,"$3,000,000 ","$2,490,000 "
